387,2,2016-05-02,5,3,16,7,-13.909090909090908,NULL,NULL,-9.428571428571429,NULL,NULL
397,2,2016-05-02,5,4,20,11,-12.181818181818182,NULL,NULL,-8.714285714285714,NULL,NULL
362,3,2016-05-02,5,1,23,14,-9.090909090909092,58,NULL,-5.357142857142857,7.222222222222222,NULL
372,3,2016-05-02,5,2,23,13,-8.181818181818182,57,NULL,-5.428571428571429,11.333333333333334,NULL
382,3,2016-05-02,5,3,19,9,-12.181818181818182,59,NULL,-5.428571428571429,19.333333333333332,NULL
392,3,2016-05-02,5,4,22,11,-12.909090909090908,49,NULL,-7.571428571428571,20,NULL
1395,4,2016-05-02,5,1,22.5,12.5,NULL,58,NULL,NULL,NULL,NULL
1480,4,2016-05-02,5,2,21.5,12,NULL,57,NULL,NULL,NULL,NULL
1530,4,2016-05-02,5,3,17.5,8,NULL,59,NULL,NULL,NULL,NULL
1580,4,2016-05-02,5,4,21,11,NULL,49,NULL,NULL,NULL,NULL
413,2,2016-05-03,1,1,22,12,-4,NULL,NULL,NULL,NULL,NULL
423,2,2016-05-03,1,2,17,6,-1,NULL,NULL,NULL,NULL,NULL
433,2,2016-05-03,1,3,17,8,-1,NULL,NULL,NULL,NULL,NULL
443,2,2016-05-03,1,4,14,7,0,NULL,NULL,NULL,NULL,NULL
408,3,2016-05-03,1,1,25,12,-8.3,49,NULL,NULL,-1,NULL
418,3,2016-05-03,1,2,19,7,-4,52,NULL,NULL,-6,NULL
428,3,2016-05-03,1,3,18,7,-9,71,NULL,NULL,12,NULL
438,3,2016-05-03,1,4,16,4,-4,53,NULL,NULL,-28,NULL
1396,4,2016-05-03,1,1,23.5,12,NULL,49,NULL,NULL,NULL,NULL
1481,4,2016-05-03,1,2,18,6.5,NULL,52,NULL,NULL,NULL,NULL
1531,4,2016-05-03,1,3,17.5,7.5,NULL,71,NULL,NULL,NULL,NULL
1581,4,2016-05-03,1,4,15,5.5,NULL,53,NULL,NULL,NULL,NULL
414,2,2016-05-03,2,1,22,9,-3,NULL,NULL,-8,NULL,NULL
424,2,2016-05-03,2,2,19,6,-4,NULL,NULL,-12,NULL,NULL
434,2,2016-05-03,2,3,16,8,-3,NULL,NULL,-8,NULL,NULL
444,2,2016-05-03,2,4,18,5,-5,NULL,NULL,-13,NULL,NULL
409,3,2016-05-03,2,1,23,12,-7,51,NULL,-1,-12.666666666666666,NULL
419,3,2016-05-03,2,2,20,9,-1,47,NULL,-6,-4.333333333333333,NULL
429,3,2016-05-03,2,3,18,7,-8,62,NULL,-6,8.333333333333334,NULL
439,3,2016-05-03,2,4,19,8,-4,50,NULL,-7,-1,NULL
1397,4,2016-05-03,2,1,22.5,10.5,NULL,51,NULL,NULL,NULL,NULL
1482,4,2016-05-03,2,2,19.5,7.5,NULL,47,NULL,NULL,NULL,NULL
1532,4,2016-05-03,2,3,17,7.5,NULL,62,NULL,NULL,NULL,NULL
1582,4,2016-05-03,2,4,18.5,6.5,NULL,50,NULL,NULL,NULL,NULL
415,2,2016-05-03,3,1,22,9,-11.333333333333334,NULL,NULL,-9.5,NULL,NULL
425,2,2016-05-03,3,2,22,9,-12,NULL,NULL,-13,NULL,NULL
435,2,2016-05-03,3,3,16,7,-11.444444444444445,NULL,NULL,-9,NULL,NULL
445,2,2016-05-03,3,4,20,8,-12.88888888888889,NULL,NULL,-12.5,NULL,NULL
410,3,2016-05-03,3,1,23,13,-9.555555555555557,55,NULL,-7.300000000000001,14.363636363636363,NULL
420,3,2016-05-03,3,2,23,13,-9,55,NULL,-7.5,17.545454545454547,NULL
430,3,2016-05-03,3,3,18,7,-12.666666666666666,58,NULL,-8,20.545454545454547,NULL
440,3,2016-05-03,3,4,23,10,-12.333333333333334,52,NULL,-10,22.90909090909091,NULL
